HH7_region,country_orig,name_orig,country_matched,NAME_1_matched,NAME_2_matched,NAME_3_matched,NAME_4_matched,NAME_1_matched_fuzz,NAME_2_matched_fuzz,NAME_3_matched_fuzz,NAME_4_matched_fuzz,accepted,level,substituted in Name_1 with NA from:,Aggregate
VAKINANKARATRA,Madagascar,Vakinankaratra,Madagascar,NA,Vakinankaratra,NA,NA,NA,NA,NA,NA,1,,,
VATOVAVY FITOVINANY,Madagascar,Vatovavy Fitovinany,Madagascar,NA,Vatovavy Fitovinany,NA,NA,NA,NA,NA,NA,1,,,
Khangai,Mongolia,Khangai,Mongolia,NA,Khangai,NA,NA,NA,NA,NA,NA,1,,,
Ulaanbaatar,Mongolia,Ulaanbaatar,Mongolia,Ulaanbaatar,NA,NA,NA,NA,NA,NA,NA,1,,,
Far Western Hill,Nepal,Achham,Nepal,NA,NA,Achham,NA,NA,NA,NA,NA,1,,,
Western  Hill,Nepal,Arghakhanchi,Nepal,NA,NA,Arghakhanchi,NA,NA,NA,NA,NA,1,,,
Western  Hill,Nepal,Baglung,Nepal,NA,NA,Baglung,NA,NA,NA,NA,NA,1,,,
Far Western Hill,Nepal,Baitadi,Nepal,NA,NA,Baitadi,NA,NA,NA,NA,NA,1,,,
Far Western Mountain,Nepal,Bajhang,Nepal,NA,NA,Bajhang,NA,NA,NA,NA,NA,1,,,
Far Western Mountain,Nepal,Bajura,Nepal,NA,NA,Bajura,NA,NA,NA,NA,NA,1,,,
MId WesternTerai,Nepal,Banke,Nepal,NA,NA,Banke,NA,NA,NA,NA,NA,1,,,
Central Terai,Nepal,Bara,Nepal,NA,NA,Bara,NA,NA,NA,NA,NA,1,,,
MId WesternTerai,Nepal,Bardiya,Nepal,NA,NA,Bardiya,NA,NA,NA,NA,NA,1,,,
Central Hill,Nepal,Bhaktapur,Nepal,NA,NA,Bhaktapur,NA,NA,NA,NA,NA,1,,,
Eastern Hill,Nepal,Bhojpur,Nepal,NA,NA,Bhojpur,NA,NA,NA,NA,NA,1,,,
Central Terai,Nepal,Chitawan,Nepal,NA,NA,Chitawan,NA,NA,NA,NA,NA,1,,,
Far Western Hill,Nepal,Dadeldhura,Nepal,NA,NA,Dadeldhura,NA,NA,NA,NA,NA,1,,,
MId Western Hill,Nepal,Dailekh,Nepal,NA,NA,Dailekh,NA,NA,NA,NA,NA,1,,,
MId WesternTerai,Nepal,Dang,Nepal,NA,NA,Dang,NA,NA,NA,NA,NA,1,,,
Far Western Mountain,Nepal,Darchula,Nepal,NA,NA,Darchula,NA,NA,NA,NA,NA,1,,,
Central Hill,Nepal,Dhading,Nepal,NA,NA,Dhading,NA,NA,NA,NA,NA,1,,,
Eastern Hill,Nepal,Dhankuta,Nepal,NA,NA,Dhankuta,NA,NA,NA,NA,NA,1,,,
Central Terai,Nepal,Dhanusa,Nepal,NA,NA,Dhanusa,NA,NA,NA,NA,NA,1,,,
Central Mountain,Nepal,Dolakha,Nepal,NA,NA,Dolakha,NA,NA,NA,NA,NA,1,,,
MId Western Mountain,Nepal,Dolpa,Nepal,NA,NA,Dolpa,NA,NA,NA,NA,NA,1,,,
Far Western Hill,Nepal,Doti,Nepal,NA,NA,Doti,NA,NA,NA,NA,NA,1,,,
Western  Hill,Nepal,Gorkha,Nepal,NA,NA,Gorkha,NA,NA,NA,NA,NA,1,,,
Western  Hill,Nepal,Gulmi,Nepal,NA,NA,Gulmi,NA,NA,NA,NA,NA,1,,,
MId Western Mountain,Nepal,Humla,Nepal,NA,NA,Humla,NA,NA,NA,NA,NA,1,,,
Eastern Hill,Nepal,Ilam,Nepal,NA,NA,Ilam,NA,NA,NA,NA,NA,1,,,
MId Western Hill,Nepal,Jajarkot,Nepal,NA,NA,Jajarkot,NA,NA,NA,NA,NA,1,,,
Eastern Terai,Nepal,Jhapa,Nepal,NA,NA,Jhapa,NA,NA,NA,NA,NA,1,,,
MId Western Mountain,Nepal,Jumla,Nepal,NA,NA,Jumla,NA,NA,NA,NA,NA,1,,,
Far WesternTerai,Nepal,Kailali,Nepal,NA,NA,Kailali,NA,NA,NA,NA,NA,1,,,
MId Western Mountain,Nepal,Kalikot,Nepal,NA,NA,Kalikot,NA,NA,NA,NA,NA,1,,,
Far WesternTerai,Nepal,Kanchanpur,Nepal,NA,NA,Kanchanpur,NA,NA,NA,NA,NA,1,,,
Western  Terai,Nepal,Kapilbastu,Nepal,NA,NA,Kapilbastu,NA,NA,NA,NA,NA,1,,,
Western  Hill,Nepal,Kaski,Nepal,NA,NA,Kaski,NA,NA,NA,NA,NA,1,,,
Central Hill,Nepal,Kathmandu,Nepal,NA,NA,Kathmandu,NA,NA,NA,NA,NA,1,,,
Central Hill,Nepal,Kavrepalanchok,Nepal,NA,NA,Kavrepalanchok,NA,NA,NA,NA,NA,1,,,
Eastern Hill,Nepal,Khotang,Nepal,NA,NA,Khotang,NA,NA,NA,NA,NA,1,,,
Central Hill,Nepal,Lalitpur,Nepal,NA,NA,Lalitpur,NA,NA,NA,NA,NA,1,,,
Western  Hill,Nepal,Lamjung,Nepal,NA,NA,Lamjung,NA,NA,NA,NA,NA,1,,,
Central Terai,Nepal,Mahottari,Nepal,NA,NA,Mahottari,NA,NA,NA,NA,NA,1,,,
Central Hill,Nepal,Makwanpur,Nepal,NA,NA,Makwanpur,NA,NA,NA,NA,NA,1,,,
Western Mountain,Nepal,Manang,Nepal,NA,NA,Manang,NA,NA,NA,NA,NA,1,,,
Eastern Terai,Nepal,Morang,Nepal,NA,NA,Morang,NA,NA,NA,NA,NA,1,,,
MId Western Mountain,Nepal,Mugu,Nepal,NA,NA,Mugu,NA,NA,NA,NA,NA,1,,,
Western Mountain,Nepal,Mustang,Nepal,NA,NA,Mustang,NA,NA,NA,NA,NA,1,,,
Western  Hill,Nepal,Myagdi,Nepal,NA,NA,Myagdi,NA,NA,NA,NA,NA,1,,,
Western  Terai,Nepal,Nawalparasi,Nepal,NA,NA,Nawalparasi,NA,NA,NA,NA,NA,1,,,
Central Hill,Nepal,Nuwakot,Nepal,NA,NA,Nuwakot,NA,NA,NA,NA,NA,1,,,
Eastern Hill,Nepal,Okhaldhunga,Nepal,NA,NA,Okhaldhunga,NA,NA,NA,NA,NA,1,,,
Western  Hill,Nepal,Palpa,Nepal,NA,NA,Palpa,NA,NA,NA,NA,NA,1,,,
Eastern Hill,Nepal,Panchthar,Nepal,NA,NA,Panchthar,NA,NA,NA,NA,NA,1,,,
Western  Hill,Nepal,Parbat,Nepal,NA,NA,Parbat,NA,NA,NA,NA,NA,1,,,
Central Terai,Nepal,Parsa,Nepal,NA,NA,Parsa,NA,NA,NA,NA,NA,1,,,
MId Western Hill,Nepal,Pyuthan,Nepal,NA,NA,Pyuthan,NA,NA,NA,NA,NA,1,,,
Central Hill,Nepal,Ramechhap,Nepal,NA,NA,Ramechhap,NA,NA,NA,NA,NA,1,,,
Central Mountain,Nepal,Rasuwa,Nepal,NA,NA,Rasuwa,NA,NA,NA,NA,NA,1,,,
Central Terai,Nepal,Rautahat,Nepal,NA,NA,Rautahat,NA,NA,NA,NA,NA,1,,,
MId Western Hill,Nepal,Rolpa,Nepal,NA,NA,Rolpa,NA,NA,NA,NA,NA,1,,,
MId Western Hill,Nepal,Rukum,Nepal,NA,NA,Rukum,NA,NA,NA,NA,NA,1,,,
Western  Terai,Nepal,Rupandehi,Nepal,NA,NA,Rupandehi,NA,NA,NA,NA,NA,1,,,
